order id,mobileID,sales channels,rating,customer id,CompoundKey
100,7471,Offline,8.0,96584,100_7471
103,7843,Offline,9.0,92027,103_7843
120,6225,Online,2.0,1063,120_6225
123,1121,Online,5.0,54711,123_1121
128,3053,Offline,4.0,93022,128_3053
136,1782,Online,4.0,22497,136_1782
137,5858,Online,10.0,7557,137_5858
151,7655,Offline,10.0,86982,151_7655
153,9414,Offline,NaN,23479,153_9414
159,4565,Offline,3.0,55580,159_4565
161,6188,Online,6.0,73248,161_6188
185,4536,Online,7.0,51974,185_4536
206,3035,Offline,NaN,45969,206_3035
210,8245,Offline,9.0,33195,210_8245
216,5357,Offline,6.0,74678,216_5357
221,6932,Offline,3.0,13066,221_6932
224,5342,Online,6.0,95210,224_5342
230,4290,Online,7.0,72953,230_4290
232,792,Online,9.0,87314,232_792
242,1725,Online,3.0,36729,242_1725
250,2340,Online,NaN,41187,250_2340
259,1912,Online,6.0,9869,259_1912
260,1515,Offline,3.0,41406,260_1515
268,8241,Online,9.0,40983,268_8241
283,8816,Online,5.0,78899,283_8816
285,1296,Online,5.0,50555,285_1296
287,2212,Offline,3.0,11162,287_2212
291,2231,Offline,10.0,85668,291_2231
317,486,Online,4.0,43864,317_486
320,4834,Online,NaN,57134,320_4834
326,2673,Offline,5.0,36416,326_2673
335,6367,Offline,NaN,36183,335_6367
336,3691,Online,4.0,60345,336_3691
349,6860,Offline,3.0,61088,349_6860
350,7064,Offline,2.0,53839,350_7064
354,2190,Offline,9.0,31437,354_2190
356,7715,Offline,8.0,8882,356_7715
365,401,Online,6.0,75672,365_401
366,6843,Offline,9.0,80549,366_6843
392,9433,Online,9.0,1240,392_9433
426,4694,Online,5.0,943,426_4694
435,2968,Offline,7.0,81885,435_2968
449,4652,Online,NaN,62374,449_4652
462,8409,Offline,8.0,94507,462_8409
466,8966,Online,10.0,2775,466_8966
480,433,Online,9.0,97067,480_433
510,1149,Offline,6.0,48149,510_1149
516,6617,Offline,NaN,3087,516_6617
521,1492,Online,6.0,98680,521_1492
524,2722,Online,2.0,41792,524_2722
526,2906,Offline,9.0,59509,526_2906
529,8760,Online,6.0,89424,529_8760
555,146,Offline,7.0,93626,555_146
576,3132,Offline,NaN,78753,576_3132
587,2979,Online,4.0,97407,587_2979
588,3935,Offline,7.0,21417,588_3935
619,4086,Online,5.0,77385,619_4086
620,9159,Online,6.0,17720,620_9159
623,3513,Offline,2.0,51838,623_3513
626,7636,Offline,7.0,37527,626_7636
641,1673,Offline,2.0,33111,641_1673
642,3147,Offline,3.0,78103,642_3147
665,8106,Offline,5.0,92888,665_8106
671,6638,Online,7.0,16567,671_6638
675,8586,Offline,6.0,59410,675_8586
690,4633,Online,10.0,5372,690_4633
693,7509,Online,7.0,5556,693_7509
698,2296,Online,10.0,83878,698_2296
699,7993,Offline,2.0,67498,699_7993
706,5061,Offline,2.0,91022,706_5061
710,6151,Online,10.0,18832,710_6151
722,5183,Offline,2.0,26750,722_5183
737,6759,Online,9.0,85908,737_6759
750,7927,Online,5.0,27279,750_7927
760,5030,Online,3.0,43960,760_5030
761,8201,Online,2.0,16850,761_8201
764,9925,Online,8.0,65327,764_9925
766,5901,Offline,8.0,23196,766_5901
794,8018,Offline,4.0,94821,794_8018
804,8805,Online,9.0,99702,804_8805
805,1516,Offline,10.0,5702,805_1516
830,1974,Offline,3.0,78092,830_1974
843,8771,Online,8.0,74185,843_8771
849,3166,Online,6.0,29991,849_3166
859,8306,Online,5.0,56043,859_8306
865,4926,Offline,9.0,14713,865_4926
867,135,Offline,10.0,71762,867_135
870,8535,Online,NaN,10932,870_8535
884,7033,Offline,9.0,79259,884_7033
886,8634,Offline,3.0,752,886_8634
918,8513,Offline,10.0,57929,918_8513
944,9128,Online,5.0,25074,944_9128
952,3846,Online,6.0,41761,952_3846
974,4859,Offline,5.0,35745,974_4859
985,8093,Offline,9.0,9657,985_8093
1006,2870,Offline,2.0,3058,1006_2870
1009,1739,Online,7.0,32457,1009_1739
1018,4384,Online,4.0,20367,1018_4384
1028,4129,Online,9.0,30178,1028_4129
1034,1796,Online,3.0,27182,1034_1796
1051,5606,Offline,9.0,80727,1051_5606
1054,2644,Online,NaN,43640,1054_2644
1071,6403,Online,8.0,2592,1071_6403
1092,4141,Offline,9.0,72548,1092_4141
1105,2022,Online,7.0,58459,1105_2022
1121,9440,Online,4.0,32521,1121_9440
1134,7384,Offline,5.0,55341,1134_7384
1139,4059,Online,NaN,73860,1139_4059
1140,1297,Offline,10.0,96762,1140_1297
1144,1014,Offline,7.0,86847,1144_1014
1156,4974,Online,3.0,75955,1156_4974
1163,8940,Online,4.0,37718,1163_8940
1166,2263,Online,2.0,10779,1166_2263
1169,6146,Online,6.0,61953,1169_6146
1171,7379,Online,2.0,67543,1171_7379
1182,8958,Offline,7.0,92614,1182_8958
1196,9977,Offline,7.0,10914,1196_9977
1215,1857,Offline,NaN,59651,1215_1857
1216,5609,Offline,NaN,86963,1216_5609
1223,9746,Online,NaN,32207,1223_9746
1224,8311,Online,8.0,39503,1224_8311
1229,852,Online,2.0,22845,1229_852
1233,5125,Offline,3.0,80479,1233_5125
1235,5256,Offline,2.0,84824,1235_5256
1255,2468,Offline,6.0,60451,1255_2468
1260,7920,Offline,6.0,32811,1260_7920
1265,7146,Offline,NaN,12077,1265_7146
1274,1969,Offline,5.0,2174,1274_1969
1282,4220,Online,NaN,21458,1282_4220
1283,3291,Online,6.0,83302,1283_3291
1311,2652,Offline,6.0,43842,1311_2652
1315,7158,Online,8.0,28246,1315_7158
1341,7168,Offline,NaN,47130,1341_7168
1347,1008,Offline,NaN,14856,1347_1008
1365,2323,Offline,5.0,50734,1365_2323
1387,3679,Online,9.0,84890,1387_3679
1392,5553,Offline,NaN,68675,1392_5553
1410,5715,Online,NaN,66889,1410_5715
1411,2472,Offline,4.0,20000,1411_2472
1429,6064,Offline,7.0,86046,1429_6064
1449,8060,Offline,4.0,71603,1449_8060
1462,323,Offline,10.0,28190,1462_323
1495,7543,Online,8.0,30268,1495_7543
1503,976,Offline,10.0,34971,1503_976
1506,7134,Offline,6.0,43127,1506_7134
1518,6872,Offline,2.0,78980,1518_6872
1524,3153,Online,4.0,65720,1524_3153
1525,7190,Online,3.0,47641,1525_7190
1562,5001,Offline,5.0,24937,1562_5001
1566,9647,Online,3.0,81219,1566_9647
1574,1531,Online,3.0,65032,1574_1531
1582,1335,Online,4.0,58713,1582_1335
1604,2998,Online,10.0,56189,1604_2998
1611,9926,Offline,8.0,60674,1611_9926
1613,8679,Online,8.0,13722,1613_8679
1627,6042,Online,6.0,40227,1627_6042
1633,4297,Online,3.0,4630,1633_4297
1636,1705,Offline,2.0,46966,1636_1705
1641,899,Offline,3.0,60116,1641_899
1653,4687,Online,NaN,52240,1653_4687
1667,5831,Offline,6.0,47268,1667_5831
1668,4437,Online,6.0,63256,1668_4437
1676,9825,Offline,6.0,64613,1676_9825
1695,8714,Online,NaN,15421,1695_8714
1697,7539,Online,8.0,35014,1697_7539
1705,3852,Online,9.0,16586,1705_3852
1732,3185,Offline,4.0,16937,1732_3185
1734,7765,Offline,4.0,65904,1734_7765
1736,8778,Offline,NaN,35298,1736_8778
1745,6336,Offline,NaN,97335,1745_6336
1760,4626,Online,2.0,59319,1760_4626
1772,2999,Online,3.0,70853,1772_2999
1774,4306,Online,5.0,39495,1774_4306
1775,2686,Offline,9.0,69014,1775_2686
1779,8058,Offline,2.0,31059,1779_8058
1792,6055,Online,7.0,16370,1792_6055
1826,821,Online,6.0,90373,1826_821
1841,9304,Online,8.0,94501,1841_9304
1852,6170,Online,5.0,40719,1852_6170
1874,2891,Online,2.0,89174,1874_2891
1890,8190,Online,3.0,22001,1890_8190
1891,6099,Offline,4.0,27383,1891_6099
1893,3182,Offline,10.0,65209,1893_3182
1903,2176,Online,2.0,47815,1903_2176
1920,4810,Offline,4.0,59085,1920_4810
1921,9887,Online,8.0,46492,1921_9887
1938,5234,Online,7.0,16208,1938_5234
1946,728,Online,2.0,6143,1946_728
1956,9200,Offline,6.0,75240,1956_9200
1974,7044,Offline,7.0,91469,1974_7044
1990,4790,Online,9.0,31540,1990_4790
